[UI_REPLACE] admin-management.html | Replaced 🔍 with <i data-lucide="search"></i>
[UI_REPLACE] admin-management.html | Replaced ⚠️ with <i data-lucide="alert-triangle"></i>
[UI_REPLACE] agencies.html | Replaced ⚠️ with <i data-lucide="alert-triangle"></i>
[LOG_REPLACE] auto_refactor.js | console.log("📊 Stats" -> console.log("[STATS] Stats"
[JS_STR_REPLACE] auto_refactor.js | Removed 📦 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 📊 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 📈 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 👋 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🔍 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🙂 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed ❌ from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed ✅ from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed ⚠️ from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed ℹ️ from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed ℹ from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 👤 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 👥 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 💬 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 💰 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 💵 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🤝 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🔌 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🔼 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🔴 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🟢 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🟠 from generic string
[JS_STR_REPLACE] auto_refactor.js | Removed 🔵 from generic string
[UI_REPLACE] completed-projects.html | Replaced ⚠️ with <i data-lucide="alert-triangle"></i>
[UI_REPLACE] customer-detail.html | Replaced 💬 with <i data-lucide="message-circle"></i>
[UI_REPLACE] dashboard-v2.html | Replaced 📦 with <i data-lucide="package"></i>
[UI_REPLACE] dashboard-v2.html | Replaced 📊 with <i data-lucide="bar-chart-3"></i>
[UI_REPLACE] dashboard-v2.html | Replaced ✅ with <i data-lucide="check-circle"></i>
[UI_REPLACE] dashboard-v2.html | Replaced ⚠️ with <i data-lucide="alert-triangle"></i>
[UI_REPLACE] debug-roles.html | Replaced 📊 with <i data-lucide="bar-chart-3"></i>
[UI_REPLACE] debug-roles.html | Replaced 🔍 with <i data-lucide="search"></i>
[UI_REPLACE] debug-roles.html | Replaced ❌ with <i data-lucide="x-circle"></i>
[UI_REPLACE] debug-roles.html | Replaced ✅ with <i data-lucide="check-circle"></i>
[UI_REPLACE] debug-roles.html | Replaced ⚠️ with <i data-lucide="alert-triangle"></i>
[LOG_REPLACE] design-new-v2.html | console.log('📦 Loading data for project:' -> console.log('[INVENTORY] Loading data for project:'
[LOG_REPLACE] design-new-v2.html | console.log('🔍 Fetching:' -> console.log('[SEARCH] Fetching:'
[LOG_REPLACE] design-new-v2.html | console.log('📊 Response status:' -> console.log('[STATS] Response status:'
[LOG_REPLACE] design-new-v2.html | console.log('📦 Raw data:' -> console.log('[INVENTORY] Raw data:'
[LOG_REPLACE] design-new-v2.html | console.log('✅ Loaded products:' -> console.log('[SUCCESS] Loaded products:'
[LOG_REPLACE] design-new-v2.html | console.warn('⚠️ API returned:' -> console.warn('[WARNING] API returned:'
[LOG_REPLACE] design-new-v2.html | console.error('❌ Load project data error:' -> console.error('[ERROR] Load project data error:'
[UI_REPLACE] design-new-v2.html | Replaced 📦 with <i data-lucide="package"></i>
[UI_REPLACE] design-new-v2.html | Replaced 📊 with <i data-lucide="bar-chart-3"></i>
[UI_REPLACE] design-new-v2.html | Replaced 🔍 with <i data-lucide="search"></i>
[UI_REPLACE] design-new-v2.html | Replaced ❌ with <i data-lucide="x-circle"></i>
[UI_REPLACE] design-new-v2.html | Replaced ✅ with <i data-lucide="check-circle"></i>
[UI_REPLACE] design-new-v2.html | Replaced ⚠️ with <i data-lucide="alert-triangle"></i>
[LOG_REPLACE] design-new.html | console.log('✅ Project card updated:' -> console.log('[SUCCESS] Project card updated:'
[LOG_REPLACE] design-new.html | console.warn('⚠️ updateProjectInfo: No project selected' -> console.warn('[WARNING] updateProjectInfo: No project selected'
